iter	Passed	Remaining
0	214	42671
1	298	29524
2	380	24987
3	465	22817
4	548	21384
5	631	20413
6	718	19807
7	806	19364
8	889	18869
9	971	18452
10	1054	18109
11	1137	17816
12	1222	17579
13	1303	17315
14	1389	17132
15	1471	16924
16	1553	16720
17	1638	16565
18	1721	16396
19	1803	16227
20	1883	16058
21	1965	15904
22	2045	15745
23	2127	15601
24	2207	15453
25	2288	15315
26	2368	15177
27	2451	15057
28	2531	14928
29	2613	14809
30	2692	14677
31	2769	14539
32	2846	14404
33	2923	14275
34	3000	14145
35	3077	14019
36	3157	13909
37	3234	13788
38	3311	13671
39	3389	13556
40	3470	13460
41	3549	13354
42	3627	13245
43	3705	13137
44	3786	13042
45	3864	12936
46	3941	12831
47	4019	12728
48	4096	12623
49	4174	12522
50	4252	12422
51	4329	12322
52	4408	12226
53	4488	12136
54	4566	12038
55	4644	11942
56	4721	11845
57	4813	11784
58	4897	11704
59	4980	11621
60	5059	11529
61	5137	11435
62	5219	11351
63	5308	11280
64	5395	11206
65	5491	11149
66	5590	11096
67	5683	11032
68	5776	10966
69	5869	10899
70	5966	10839
71	6060	10773
72	6161	10718
73	6259	10658
74	6353	10589
75	6452	10527
76	6545	10455
77	6640	10386
78	6736	10317
79	6832	10248
80	6927	10177
81	7021	10103
82	7116	10031
83	7211	9958
84	7306	9885
85	7409	9821
86	7507	9751
87	7604	9678
88	7700	9604
89	7797	9529
90	7895	9457
91	7992	9382
92	8086	9303
93	8179	9223
94	8273	9144
95	8368	9065
96	8468	8992
97	8565	8915
98	8661	8836
99	8787	8787
100	8884	8709
101	8978	8626
102	9073	8545
103	9173	8467
104	9266	8383
105	9361	8301
106	9458	8221
107	9554	8138
108	9648	8055
109	9747	7975
110	9842	7891
111	9937	7808
112	10032	7723
113	10126	7639
114	10221	7555
115	10347	7493
116	10438	7405
117	10526	7314
118	10617	7226
119	10710	7140
120	10802	7052
121	10895	6965
122	10990	6880
123	11082	6792
124	11180	6708
125	11280	6624
126	11376	6539
127	11475	6454
128	11572	6369
129	11667	6282
130	11763	6196
131	11858	6109
132	11952	6020
133	12045	5932
134	12140	5845
135	12233	5756
136	12327	5668
137	12422	5581
138	12517	5493
139	12611	5405
140	12709	5318
141	12809	5231
142	12905	5144
143	13002	5056
144	13098	4968
145	13191	4878
146	13285	4789
147	13383	4702
148	13480	4614
149	13573	4524
150	13666	4434
151	13760	4345
152	13854	4255
153	13953	4167
154	14049	4078
155	14145	3989
156	14245	3901
157	14343	3812
158	14444	3724
159	14540	3635
160	14637	3545
161	14734	3456
162	14834	3367
163	14926	3276
164	15020	3186
165	15115	3095
166	15210	3005
167	15302	2914
168	15397	2824
169	15494	2734
170	15591	2644
171	15686	2553
172	15791	2464
173	15884	2373
174	15982	2283
175	16079	2192
176	16173	2101
177	16271	2011
178	16368	1920
179	16466	1829
180	16559	1738
181	16652	1646
182	16745	1555
183	16839	1464
184	16934	1373
185	17030	1281
186	17124	1190
187	17218	1099
188	17312	1007
189	17407	916
190	17504	824
191	17599	733
192	17693	641
193	17789	550
194	17886	458
195	17982	366
196	18077	275
197	18173	183
198	18265	91
199	18359	0
