Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A0N7H9Z1	unreviewed	Cyclotide	214053	Viola tricolor	118	IPR005535	83..113
A0A0N7H9Z2	unreviewed	Cyclotide	214053	Viola tricolor	117	IPR005535	74..100
A0A0N9XQD2	unreviewed	Cyclotide	214053	Viola tricolor	119	IPR005535	83..113
A0A0N9XU39	unreviewed	Cyclotide	214053	Viola tricolor	115	IPR005535	86..114
A0A0N9Y173	unreviewed	Cyclotide	214053	Viola tricolor	163	IPR005535	70..99
A0A0N9YG86	unreviewed	Cyclotide	214053	Viola tricolor	119	IPR005535	85..114
A0A0N9YKR6	unreviewed	Cyclotide	214053	Viola tricolor	114	IPR005535	82..110
A0A0N9YLE5	unreviewed	Cyclotide	214053	Viola tricolor	118	IPR005535	85..114
A0A0N9YQG6	unreviewed	Cyclotide	214053	Viola tricolor	116	IPR005535	82..112
A0A0S1RG75	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	74	IPR005535	1..30
A0A0S1RG88	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	132	IPR005535	30..58
A0A0S1RG98	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	122	IPR005535	26..55
A0A0S1RGA2	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	131	IPR005535	29..57
A0A0S1RGB4	unreviewed	Albumin 1	43366	Clitoria ternatea	76	IPR005535	24..54
A0A0S1RQC5	unreviewed	Albumin 1	43366	Clitoria ternatea	72	IPR005535	24..52
A0A0S1RQE3	unreviewed	Albumin 1	43366	Clitoria ternatea	75	IPR005535	25..53
A0A0S1RQE4	unreviewed	Cyclotide	43366	Clitoria ternatea	67	IPR005535	24..53
A0A0S1RQE7	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	74	IPR005535	11..41
A0A0S1RQG0	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	101	IPR005535	29..58
A0A0S1RQG3	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	77	IPR005535	16..44
A0A0S1RQH5	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	129	IPR005535	27..55
A0A0S1RQI0	unreviewed	Albumin 1	43366	Clitoria ternatea	71	IPR005535	16..46
A0A0S1RQI1	unreviewed	Albumin 1	43366	Clitoria ternatea	50	IPR005535	10..39
A0A0S1RQI2	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	133	IPR005535	29..58
A0A0S1RQJ1	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	130	IPR005535	26..56
A0A0S1RQJ6	unreviewed	Albumin 1	43366	Clitoria ternatea	80	IPR005535	24..53
A0A0S1RQJ9	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	77	IPR005535	16..44
A0A0S1RQK5	unreviewed	Albumin 1	43366	Clitoria ternatea	65	IPR005535	27..55
A0A0S1RQL4	unreviewed	Albumin 1	43366	Clitoria ternatea	85	IPR005535	37..67
A0A0S1RQL6	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	125	IPR005535	30..60
A0A0S1RQN3	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	100	IPR005535	23..52
A0A0S1RQQ2	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	106	IPR005535	30..58
A0A0S1RQR7	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	105	IPR005535	28..54
A0A0S1RQT7	unreviewed	Albumin 1	43366	Clitoria ternatea	81	IPR005535	24..52
A0A0S1RQV0	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	130	IPR005535	26..56
